repo_name,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52
libnvidia-container,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
deepops,0,1,1,1,11,5,18,3,17,2,1,2,4,2,0,6,9,3,0,4,18,19,16,13,1,20,16,1,10,30,31,32,14,1,5,2,3,0,0,0,1,1,0,7,1,2,18,3,1,0,0,0
NeMo,4,10,10,9,18,8,12,7,8,11,16,8,7,9,12,11,16,21,3,2,9,29,23,41,28,20,41,11,6,12,14,4,25,7,11,8,30,12,1,14,7,26,18,8,3,9,15,15,2,26,25,1
spark-rapids-examples,3,1,1,1,1,2,13,0,2,5,1,3,4,2,1,0,0,5,6,2,1,4,3,2,2,2,4,6,1,0,0,2,2,1,0,0,1,0,0,2,0,2,0,0,6,2,0,0,1,2,2,2
MatX,0,0,0,0,0,1,0,0,0,0,34,2,10,6,12,3,1,10,8,4,2,0,15,21,6,2,9,3,2,1,7,6,2,3,1,2,5,2,1,0,2,3,4,3,0,1,6,11,9,4,2,2
FasterTransformer,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1
NVFlare,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,19,6,8,0,0,15,4,13,3,8,10,0,0,1,21,13,7,14,6,7,18,25,23,39,42,28,12,12,24,3,5,3,2,3,7,4,3
spark-rapids,8,16,11,18,24,23,11,6,10,9,12,13,12,10,9,12,12,9,6,1,12,14,12,8,5,13,11,8,5,12,7,17,11,8,9,9,10,6,1,16,6,9,11,14,10,6,7,4,9,14,17,2
apex,1,0,15,1,0,1,2,3,3,1,1,0,2,2,0,0,3,6,0,0,0,1,2,2,4,3,1,7,1,4,4,12,14,7,1,1,2,0,1,3,0,1,0,3,3,0,2,2,1,3,2,3
TensorRT,1,2,2,1,1,9,0,3,2,1,0,0,0,0,0,1,0,1,0,1,2,7,0,1,8,3,1,3,1,1,2,5,1,1,5,1,2,6,2,4,6,9,9,18,0,0,1,3,4,0,0,1
