,ProjectName,BranchNum,PullRequestNum,CommitNum,Topics,ReleaseInfo,star
0,spatial-data-vis-framework,14,0,267,"['gis', '3d', 'web3d', 'webgis']",,16
1,tair-py,1,0,88,[],v1.1.0,3
2,RemoteShuffleService,4,14,190,[],v0.1.1,207
3,lowcode-plugins,8,1,75,"['alibaba', 'low-code', 'lowcode']",,78
4,dragonwell11,13,4,"109,973",[],Alibaba_Dragonwell_Standard_11.0.16.12,450
5,xquic,1,3,70,"['protocol', 'ietf', 'quic', 'http3', 'tls13']",XQUIC v1.2.0,1224
6,GaiaX,6,2,693,"['css', 'android', 'kotlin', 'swift', 'rust', 'ios', 'cross-platform', 'flexbox']",0.2.7,638
7,TinyNeuralNetwork,2,1,465,"['deep-learning', 'pytorch', 'pruning', 'model-compression', 'model-converter', 'quantization-aware-training']",,360
8,nacos,47,24,"4,204","['config', 'dns', 'kubernetes', 'microservices', 'service-discovery', 'spring-cloud', 'configuration-management', 'service-mesh', 'alibaba', 'dubbo', 'istio', 'distributed-configuration', 'nacos']","2.1.1 (Aug 8th, 2022)",23703
9,DeepRec,4,18,"65,022","['python', 'search-engine', 'machine-learning', 'deep-learning', 'scalability', 'recommendation-engine', 'advertising', 'distributed-training']",r1.15.5-deeprec2206,539
10,BladeDISC,34,10,420,[],BladeDISC 0.2.0,410
11,ice,31,7,"1,785","['react', 'nodejs', 'framework', 'typescript', 'spa', 'webpack', 'react-router', 'serverless', 'ssr', 'mpa', 'microfrontends', 'vite', 'icejs']",v2.6.5,17286
12,EasyRec,106,17,169,"['recommender-system', 'mind', 'recommendation-algorithms', 'online-learning', 'wide-and-deep', 'automl', 'ctr-prediction', 'multi-task-learning', 'din', 'dssm', 'capsule-network', 'deepfm', 'autoint', 'esmm', 'pdn', 'deepmatching', 'dlrm', 'transformers-models', 'eges']",v0.4.7,710
13,flutter_boost,59,5,"1,101","['android', 'dart', 'ios', 'flutter', 'hybrid-app', 'hybrid-flutter']",4.0.2,6115
14,fastjson,24,160,"3,970","['android', 'java', 'serialization', 'json', 'json-serialization', 'deserialization', 'json-parser', 'fastjson', 'json-serializer', 'best-performance']",FASTJSON 1.2.83版本发布（安全修复）,24924
15,ilogtail,6,7,177,"['apm', 'cloud-native', 'ebpf', 'aliyun', 'observability', 'sls']",v1.1.1 release,873
16,hooks,9,33,"2,462","['react', 'react-hooks', 'umi-hooks', 'ahooks', 'hooks-library']",v3.7.0,10202
17,SREWorks,7,0,697,"['kubernetes', 'engineering', 'application', 'devops', 'ops', 'saas', 'dataops', 'maintenance', 'k8s', 'cloud-native', 'sre', 'cloudnative', 'operation', 'aiops', 'oam']",SREWorks v1.2,870
18,IOC-golang,5,1,96,"['golang', 'middleware', 'sdk', 'annotation', 'dependency-injection', 'debug', 'tag', 'aop', 'monkey']",v1.0.0,836
19,EasyCV,11,9,126,"['computer-vision', 'transformers', 'pytorch', 'classification', 'object-detection', 'self-supervised-learning', 'vision-transformer']",v0.5.0,354
20,jvm-sandbox,8,3,326,[],jvm-sandbox@1.3.3,5027
21,kiwi,11,2,299,"['i18n', 'typescript', 'translation', 'intl', 'g11n']",,2086
22,GraphScope,9,9,857,"['graph', 'gremlin', 'graph-analytics', 'graph-data', 'graph-computing', 'graph-neural-networks', 'graph-computation']",Release v0.16.0,1824
23,DataX,41,178,419,[],datax_v202205,11849
24,react-intl-universal,27,16,222,[],Support ECMAScript module format,1239
25,arthas,11,47,"1,787","['java', 'agent', 'jvm', 'trace', 'classloader', 'alibaba', 'diagnosis', 'trouble-shooting', 'arthas']",arthas-all-3.6.5,30294
26,jvm-sandbox-repeater,2,13,68,[],,1913
27,Elastic-Federated-Learning-Solution,1,2,24,[],EFLS-Data-v1.1,97
28,spring-cloud-alibaba,14,33,"2,056","['java', 'microservices', 'spring', 'service-discovery', 'spring-cloud', 'cloud-native', 'circuit-breaker', 'aliyun', 'alibaba', 'dubbo', 'service-registry', 'rocketmq', 'distributed-configuration', 'spring-cloud-core', 'distributed-transaction', 'alibaba-oss', 'nacos', 'distributed-messaging', 'spring-cloud-alibaba', 'alibaba-middleware']",2.2.8.RELEASE,23441
29,x-render,21,1,"2,284","['react', 'javascript', 'chart', 'list', 'typescript', 'widget', 'webpack', 'json-schema', 'ant', 'table', 'form', 'ant-design', 'formrender']",v1.13.6,4914
30,fastjson2,10,1,"1,736","['android', 'java', 'serialization', 'json', 'big-data', 'high-performance', 'json-serialization', 'deserialization', 'json-parser', 'graal', 'jsonb', 'json-path', 'fastjson', 'json-serializer', 'json-deserialization', 'java-json', 'graalvm-native-image', 'fastjson2']",fastjson 2.0.12发布，Bug修复进一步提升性能,1989
31,pipcook,23,11,689,"['machine-learning', 'js', 'pipeline', 'tensorflow']",v1.3.0 Release,2306
32,taobao-iphone-device,3,0,240,"['ios', 'iphone', 'wda', 'usbmuxd']",修复python3.6上不能安装ipa的问题,1621
