,ProjectName,BranchNum,PullRequestNum,CommitNum,Topics,ReleaseInfo,star
0,llvm-project,312,88,"637,791",[],,659
1,sourcekit-lsp,12,5,"1,256",[],,2622
2,swift,324,552,"140,791",[],Swift 5.6.2 Release,60431
3,foundationdb,30,219,"22,136","['transactional', 'distributed-database', 'acid', 'key-value-store', 'foundationdb']",Release 6.3.24,11644
4,swift-syntax,30,7,"1,196",[],0.50600.1,1910
5,swift-docc-render,5,27,223,[],,172
6,swift-nio-http2,3,3,331,"['async', 'http2', 'beta', 'swift4', 'swiftnio']",SwiftNIO HTTP/2 1.22.1,391
7,swift-docc,8,15,204,[],,748
8,swift-collections,7,6,148,"['collection', 'queue', 'container', 'hash', 'sequence', 'deque', 'dequeue', 'ordered-set', 'ordered-dictionary']",Swift Collections 1.0.2,2429
9,swift-argument-parser,17,9,280,"['cli', 'command-line', 'option', 'flag']",ArgumentParser 1.1.3,2716
10,swift-package-manager,68,46,"6,479",[],0.6.0,8887
11,swift-markdown,6,6,39,[],,1912
12,swift-docc-symbolkit,6,4,40,[],,134
13,swift-docc-render-artifact,4,1,142,[],,4
14,swift-lmdb,16,0,"1,220",[],,11
15,swift-tools-support-core,15,16,481,[],0.2.7,326
16,swift-driver,57,17,"2,741",[],,649
17,indexstore-db,18,1,297,[],,237
18,swift-stress-tester,16,2,388,[],,155
19,swift-xcode-playground-support,22,0,200,[],swift-4.2.2-RELEASE: Merge pull request #30 from cwakamo/prevent-recursive-logging-4.2,246
20,swift-integration-tests,32,5,175,[],swift-4.2.2-RELEASE: Merge pull request #25 from aciidb0mb3r/elim-need-for-pkg,90
21,swift-cmark,36,5,"2,663",[],swift-4.2.2-RELEASE: Merge pull request #4 from llvm-beanz/generate-cmark-exports,219
22,swift-corelibs-libdispatch,54,18,"1,465",[],swift-5.5-RELEASE,2237
23,swift-corelibs-foundation,53,37,"8,146",[],swift-4.2.2-RELEASE,4673
24,swift-corelibs-xctest,29,1,675,[],swift-4.2.2-RELEASE,994
25,swift-llbuild,26,3,"2,208","['swift', 'llvm', 'build-tool', 'build-system', 'llbuild']",0.5.0,965
26,swift-org-website,2,3,203,[],,298
27,swift-experimental-string-processing,9,12,923,[],,225
28,swift-llvm-bindings,3,0,32,[],,30
29,swift-source-compat-suite,50,7,"1,722",[],,255
30,swift-async-algorithms,4,11,150,['swift'],,1663
31,coremltools,3,18,958,"['machine-learning', 'tensorflow', 'pytorch', 'coreml', 'coremltools', 'model-converter', 'model-conversion']",coremltools 5.2,2829
32,swift-protobuf,2,4,"2,132",[],1.20.0 Release,3968
33,swift-evolution,45,18,"4,584",[],,13591
34,swift-tools-support-async,2,2,59,[],swift-tools-support-async 0.8.1,23
35,ml-neuman,1,1,21,[],,619
36,swift-llbuild2,3,2,246,[],0.7.7,256
37,swift-nio,21,45,"2,066","['swift', 'networking', 'high-performance', 'event-driven', 'swift-server', 'non-blocking', 'asynchronous-io', 'non-blocking-io', 'swift5', 'swiftnio']",SwiftNIO 2.41.1,7075
38,servicetalk,6,5,"3,412","['java', 'http', 'microservices', 'framework', 'reactive', 'netty', 'http2', 'reactive-streams', 'grpc', 'rpc']",0.42.15,769
39,swift-installer-scripts,7,6,230,[],,32
40,swift-nio-ssl,5,1,273,"['tls', 'tls-support', 'swift5', 'swiftnio']",SwiftNIO SSL 2.22.0,334
41,swift-nio-extras,5,5,135,"['swift5', 'swiftnio']",SwiftNIO Extras 1.13.0,138
42,device-management,2,0,3,[],,198
