,ProjectName,BranchNum,PullRequestNum,CommitNum,Topics,ReleaseInfo,star
0,aws-parallelcluster,36,25,"4,213",[],AWS ParallelCluster v3.2.0,705
1,eks-anywhere,11,26,"1,845","['docker', 'kubernetes', 'aws', 'vmware', 'kubernetes-cluster', 'k8s', 'baremetal', 'kubernetes-deployment', 'baremetal-provisioning', 'eks', 'tinkerbell']",v0.11.1,1620
2,eks-distro-build-tooling,5,3,484,"['aws', 'kubernetes-deployment', 'eks']",,51
3,aws-prototyping-sdk,4,2,251,[],v0.7.5,34
4,aws-cdk,68,62,"10,065","['aws', 'typescript', 'cloud-infrastructure', 'infrastructure-as-code']",v2.39.0,9113
5,aws-sdk-pandas,13,7,"1,594","['mysql', 'python', 'emr', 'aws', 'data-science', 'lambda', 'aws-lambda', 'athena', 'etl', 'pandas', 'data-engineering', 'redshift', 'apache-parquet', 'amazon-athena', 'apache-arrow', 'aws-glue', 'glue-catalog', 'amazon-sagemaker-notebook']",2.16.1,3040
6,homebrew-tap,25,1,"1,084",[],,83
7,aws-sam-cli,49,12,"1,628","['python', 'docker', 'aws', 'lambda', 'serverless', 'api-gateway', 'sam', 'serverlessapplicationmodel']",Release 1.55.0 - Bump SamTranslator version (Consumer Group ID for MSK and self hosted Kafka event type),6062
8,aws-dynamodb-encryption-python,9,6,398,[],3.1.0 -- 2021-11-10,82
9,karpenter,8,15,"1,372",[],v0.16.0,3194
10,codeartifact-origin-control-toolkit,1,1,6,[],,3
11,sagemaker-spark,2,1,124,"['python', 'aws', 'machine-learning', 'scala', 'spark', 'sagemaker', 'amazon-sagemaker']",v1.4.4,263
12,s2n-tls,16,30,"4,062","['c', 'tls', 'ssl', 'cryptography', 'crypto', 'encryption', 'c99', 's2n']",Release: v1.3.20,4163
13,porting-assistant-dotnet-ui,63,46,130,"['aws', 'dotnet', 'dotnet-core']",,57
14,aws-lambda-dotnet,72,23,"1,730","['aws', 'aws-lambda', 'serverless', 'aws-apigateway', 'netcore']",,1247
15,aws-sdk-js-v3,12,53,"2,956","['nodejs', 'javascript', 'lambda', 'typescript', 'aws-sdk', 'dynamodb', 's3', 'sns', 'aws-sdk-js']",v3.158.0,1810
16,aws-encryption-sdk-java,17,11,342,[],AWS Encryption SDK 2.4.0 Release -- 2022-03-09,191
17,sagemaker-pytorch-training-toolkit,2,5,250,"['docker', 'aws', 'pytorch', 'sagemaker']",v2.6.1,151
18,aws-encryption-sdk-javascript,13,16,390,[],,155
19,aws-encryption-sdk-python,12,12,495,[],2.5.0 -- 2022-06-21,189
