,ProjectName,BranchNum,PullRequestNum,CommitNum,Topics,ReleaseInfo,star
0,amis,14,21,"8,631","['json', 'frontend', 'frontend-framework', 'low-code', 'no-code', 'low-code-development-platform', 'lowcode']",2.1.0,11782
1,san-router,6,1,165,['san'],2.0.0,37
2,BaikalDB,6,3,198,"['mysql', 'sql', 'database', 'raft', 'htap', 'baikaldb']",BaikalDB v2.1.1,969
3,san-composition,2,1,159,[],1.1.0,25
4,baiduads-sdk,2,1,57,"['sdk', 'ads', 'baidu']",2022.0.0,9
5,dperf,4,0,222,"['nginx', 'http', 'performance', 'tcp', 'ipv6', 'dpdk', 'udp', 'packet-loss', 'vlan', 'vxlan', 'lvs', 'load-tester', 'dpvs']",v1.2.0,1023
6,du1906_esp,4,0,23,[],,14
7,QCompute,1,0,14,[],[3.0.0] - June-31-2022,60
8,NoahV,32,16,386,"['visualization', 'template', 'devops', 'vuejs', 'framework', 'monitor', 'dashboard', 'vue', 'scaffold', 'efficient', 'aiops', 'noahv']",,638
9,san-ssr,6,3,592,"['ssr', 'san', 'ssr-target-js']",nv3.12.0,30
10,brpc-java,4,6,443,"['spring-boot', 'protobuf', 'microservice', 'netty', 'high-performance', 'spring-cloud', 'grpc', 'rpc', 'server-push', 'motan', 'push', 'dubbo', 'brpc']",3.0.5,788
11,san-update,13,12,56,['san'],,54
12,Rubik,1,0,34,[],v1.9.1,40
13,braft,2,20,642,"['raft', 'distributed-storage', 'raft-protocol', 'raft-consensus-algorithm', 'distributed-consensus', 'state-machine-replication', 'raft-cpp', 'raft-cxx']",braft v1.1.2,3246
14,brcc,3,0,398,"['java', 'go', 'sdk-go', 'sdk-java', 'brcc']",changes for v1.2.0,350
15,san-store,9,8,208,"['appstate', 'san']",2.1.2,58
16,san,6,0,"2,538","['javascript', 'framework', 'component', 'frontend', 'mvvm', 'san']",3.12.1,4612
17,CarbonGraph,3,0,46,[],,163
18,openrasp,29,5,"4,554","['security', 'waf', 'iast', 'devsecops', 'rasp']",Release 1.3.7,2278
19,Jprotobuf-rpc-socket,7,5,477,[],upgrade version to 4.1.4,506
20,san-website,3,2,565,[],,20
21,Dialogue,1,1,85,"['research', 'chatbot', 'dialogue']",,439
22,smartapp-openapi-java,6,0,23,[],1.1.0-SNAPSHOT,16
23,Senta,3,8,34,"['natural-language-processing', 'sentiment-analysis', 'sentiment-classification', 'paddlepaddle', 'opinion-target-extraction', 'aspect-level-sentiment']",,1605
24,uid-generator,10,11,5,[],,4759
25,brcc-go-sdk,2,0,36,[],,6
26,smartapp-openapi-php,3,0,23,[],0.1.5,4
27,smartapp-openapi-go,3,0,16,[],v0.1.2,5
28,DuReader,1,0,198,[],,946
