,ProjectName,BranchNum,PullRequestNum,CommitNum,Topics,ReleaseInfo,star
0,fonts,52,20,"3,949",[],,15645
1,evcxr,1,4,481,[],,3411
2,perfetto,66,0,"45,999",[],Perfetto v28.0,1245
3,timesketch,10,23,"2,802","['security', 'analysis', 'timeline', 'forensics', 'dfir']",20210224,1989
4,crosvm,2,0,"4,591",[],,384
5,gvisor,227,153,"7,004","['linux', 'docker', 'kubernetes', 'kernel', 'containers', 'sandbox', 'oci']",,12997
6,site-kit-wp,164,57,"23,578","['wordpress', 'site-kit']",1.81.0,1118
7,orbit,40,11,"6,155","['performance', 'profiler', 'instrumentation', 'visualizer', 'etw', 'sampling', 'hooking', 'dynamic-instrumentation', 'cpu-profiler']",v1.0.2,2748
8,blockly-games,7,3,"1,128",[],,1148
9,jax,203,226,"12,854",['jax'],JAX release v0.3.16,19975
10,oss-fuzz,136,204,"7,705","['security', 'fuzzing', 'fuzz-testing', 'vulnerabilities', 'stability', 'oss-fuzz']",,7723
11,jaxopt,2,11,420,"['deep-learning', 'optimization', 'jax']",jaxopt-v0.4.3,537
12,rust-design-faq,16,3,74,[],,12
13,fresnel,7,5,57,[],v1.0.0,36
14,uncertainty-baselines,151,60,992,"['data-science', 'machine-learning', 'statistics', 'deep-learning', 'tensorflow', 'bayesian-methods', 'neural-networks', 'probabilistic-programming']",,1028
15,double-conversion,9,3,225,[],v3.2.1,953
16,benchmark,10,16,"1,327",['benchmark'],v1.7.0,6770
17,glance-experimental-tools,2,0,57,"['android', 'jetpack', 'compose', 'glance', 'glance-appwidget']",,33
18,syzkaller,2,44,"7,052","['testing', 'linux', 'security', 'kernel', 'fuzzing', 'fuzz-testing', 'security-vulnerability', 'fuzzer', 'security-tools']",,4306
19,glazier,15,3,638,[],Glazier 2.1.0,1138
20,crubit,1,0,870,[],,109
21,CPR_channel_placement_reporting,1,0,19,[],,1
22,protobuf.dart,6,17,761,[],"protobuf-2.0.1, protoc_plugin-20.0.1",415
23,it-cert-automation-practice,1,5k+,10,[],,554
24,gke-policy-automation,3,1,135,"['gcp', 'policy', 'gke', 'opa', 'rego']",v1.2.1,394
25,rrg,1,1,543,[],,18
26,digitalbuildings,15,24,"2,865","['rdf', 'ontology', 'buildingsmart', 'brick-schema', 'digitalbuildings']",,262
27,ml-compiler-opt,11,14,242,[],regalloc-evict-v1.0,343
28,summit-ast,1,1,41,[],,11
29,etils,45,43,150,"['python', 'tensorflow', 'utils', 'numpy', 'jax']",v0.7.1,67
30,fleetspeak-rs,1,0,127,[],,5
31,praxis,1,0,193,[],praxis release v0.0.1,9
32,android-fhir,6,25,"1,855","['android', 'kotlin', 'sqlite', 'sqlite-database', 'kotlin-android', 'kotlin-library', 'android-library', 'android-development', 'health', 'jetpack', 'interoperability', 'healthcare', 'fhir', 'sqlite-android', 'fhir-client', 'android-architecture-components', 'structured-data-capture', 'jetpack-android', 'android-fhir-sdk']",,246
33,styleguide,9,119,471,"['styleguide', 'style-guide', 'cpplint']",,31515
34,flatbuffers,2,12,"2,686","['javascript', 'python', 'c', 'java', 'go', 'c-sharp', 'rust', 'c-plus-plus', 'serialization', 'typescript', 'protobuf', 'cross-platform', 'flatbuffers', 'zero-copy', 'marshalling', 'grpc', 'rpc', 'json-parser', 'mmap', 'serialization-library']",v2.0.7,18604
35,seqio,54,56,309,[],,238
36,nomulus,1,16,"4,130",[],nomulus-20220826-RC00,1566
37,bms-toolkit,33,15,492,[],,46
38,distbench,18,3,317,[],,20
39,XNNPACK,81,52,"3,146","['cpu', 'neural-network', 'inference', 'multithreading', 'simd', 'matrix-multiplication', 'neural-networks', 'convolutional-neural-networks', 'convolutional-neural-network', 'inference-optimization', 'mobile-inference']",,1188
40,osv.dev,28,29,403,"['security', 'vulnerability', 'vulnerability-databases', 'vulnerability-management', 'vulnerability-scanners', 'security-tools']",0.0.14,585
41,go-licenses,3,6,92,"['license', 'license-management', 'license-checking']",Version 1.3.0,524
42,nsscache,5,0,797,"['python', 'ldap', 'nss', 'getpwent']",version/0.47,120
43,BIG-bench,6,8,"5,814",[],,1110
44,learned_optimization,42,32,220,[],,139
45,chrome-ssh-agent,1,0,284,"['chrome-extension', 'ssh-agent']",v0.0.22,174
46,closure-templates,56,67,"4,864",[],,575
47,ground-android,9,6,"5,336","['offline-first', 'public-health', 'data-collection', 'satellite-imagery', 'environmental-monitoring', 'natural-resources', 'mobile-data-collection', 'field-survey', 'custom-forms', 'household-surveys']",SMP,152
48,GoogleUtilities,16,5,233,[],7.7.0,51
49,autofdo,9,13,206,[],autofdo 0.19,384
50,CFU-Playground,36,14,"1,961","['tensorflow', 'tflite', 'tflm']",,290
