,ProjectName,BranchNum,PullRequestNum,CommitNum,Topics,ReleaseInfo,star
0,kakao_flutter_sdk,5,0,617,[],,169
1,varlog,6,4,727,[],v0.2.0,8
2,olive-ui,2,0,8,[],v1.1.0,5
3,kakao-recoteam-recsys-2022-challenge,1,0,5,[],,7
4,recoteam,1,0,60,[],,94
5,buffalo,4,3,453,"['python', 'machine-learning', 'cpp', 'matrix-factorization', 'recommender-system']",Buffalo v1.2.2,549
6,kakao-partner-ios-sdk-rx,3,0,12,[],,0
7,kakao-partner-ios-sdk,3,0,12,[],,1
8,kakao-ios-sdk-rx,3,0,13,[],,0
9,kakao-ios-sdk,3,0,13,[],,17
10,olive-cli,1,0,12,[],v1.2.2,9
11,web2app,19,15,112,[],,140
12,kafka-connect-web,2,0,13,"['streaming', 'kafka', 'kafka-connect']",,62
13,kfield,6,5,1,[],,9
14,d2hub-deploy-registryv2,1,0,1,[],,0
15,khaiii,6,2,120,[],v0.4,1265
16,hbase-tools,2,1,129,[],v1.5.7,53
17,network-node-manager,4,0,48,[],v1.3.0,97
18,n2,2,0,264,"['python', 'go', 'machine-learning', 'ml', 'nearest-neighbor-search', 'approximate-nearest-neighbor-search', 'knn', 'approximate', 'k-nearest-neighbors']",Release 0.1.7,523
19,hbase-packet-inspector,1,0,86,"['kafka', 'pcap', 'hbase']",0.2.0,35
20,duct-lacinia,1,0,14,[],,32
21,MRTE2,1,1,10,[],,2
22,cmux,1,0,62,"['hadoop', 'fzf', 'hbase', 'cdh']",v0.9.1,34
23,MRTE-Player,1,0,21,[],,10
24,MRTE-Collector,1,1,21,[],,19
25,DAFT,1,0,5,[],,31
26,legal-notice,2,0,10,[],,10
27,duct-lacinia-template,1,0,9,[],,0
28,hbase-region-inspector,1,0,199,['hbase'],v0.3.7,104
29,elasticsearch-shard-suggester,1,0,3,[],,34
30,d2hub,1,0,4,[],,61
31,d2hub-playbook,1,0,1,[],,1
32,docker_auth,1,0,1,[],,1
33,docker-builder,1,0,1,[],,0
34,d2hub-registry,1,0,1,[],,1
35,awesome-tech-newletters,1,1,4,[],,130
36,cuesheet,1,0,10,"['scala', 'magic', 'spark', 'apache-spark', 'yarn', 'mango']",Initial Open-Source Release of CueSheet,85
37,s2graph-admin,2,1,10,[],,7
38,java_thread_dump_analyzer,1,1,6,[],,40
39,credit-card-sms-parser,2,0,78,[],,71
40,cite,2,0,42,[],,22
41,cite-build,1,0,9,[],,3
42,mango,1,0,17,"['elasticsearch', 'json', 'scala', 'logging', 'couchbase', 'hbase', 'zookeeper', 'utility-library', 'concurrent', 'kakao']",,41
43,docs-cite,2,0,53,[],,0
44,pycon2016apac-gawibawibo,1,0,1,[],,9
45,DaumEditor,25,1,620,[],,216
46,adt,1,0,12,[],,59
47,s2graph,105,8,"1,054",[],Importing code into ASF incubator,250
48,MongoQueryLogger,1,0,3,[],,3
