,ProjectName,BranchNum,PullRequestNum,CommitNum,Topics,ReleaseInfo,star
0,fixture-monkey,16,3,398,"['kotlin', 'java', 'test', 'random-generation', 'property-based-testing']",0.3.5,214
1,egjs-axes,4,1,301,"['javascript', 'typescript', 'virtual-scroll', 'egjs', 'axis', 'coordinate', 'cartesian']",3.7.0 Release (2022-08-23),126
2,egjs-flicking,7,0,841,"['react', 'javascript', 'angular', 'mobile', 'typescript', 'vue', 'reactjs', 'slider', 'carousel', 'tablet', 'desktop', 'egjs', 'iscroll']",4.9.2 Release (2022-08-05),2117
3,ngrinder,11,5,"4,887",[],ngrinder-3.5.5-p1,1580
4,nam-sdk-ios,4,2,10,[],4.3.3,2
5,arcus-java-client,10,4,931,"['arcus', 'arcus-java-client', 'spymemcached']",Arcus Java Client 1.13.3,38
6,egjs-view3d,2,0,82,"['threejs', 'typescript', 'ar', 'egjs', 'gltf', '3d', 'webxr']",2.7.1 Release (2022-08-12),81
7,egjs-view360,6,0,510,"['webgl', 'video', 'touch', 'spinner', 'panorama', '360', 'device-orientation', '360-photo']",3.6.3 (2022-6-16),333
8,egjs-conveyer,4,0,59,"['reactive', 'drag', 'use', 'scroll', 'gesture', 'cfcs', 'conveyer']",1.4.2 Release (2022-08-24),63
9,navergame-sdk-unity,1,0,35,[],1.2.2,4
10,billboard.js,5,0,"3,295","['d3', 'svg', 'chart', 'graph', 'data-visualizations']",3.5.1,5283
11,lispe,1,0,495,"['language', 'lisp', 'interpreter', 'data-structures', 'lazy-evaluation', 'function-composition', 'pattern-programming', 'haskell-like-high-level-function']",,160
12,egjs-infinitegrid,11,0,787,"['react', 'javascript', 'grid', 'vue', 'layout', 'svelte', 'masonry', 'infinite', 'egjs', 'infinitegrid', 'dom-recycle', 'angluar']",4.6.0 Release (2022-07-26),1387
13,spring-jdbc-plus,6,0,141,"['spring-jdbc', 'sql', 'spring-data', 'jdbc', 'spring-framework', 'spring-data-jdbc']",2.4.3,162
14,navergame-sdk-unreal,1,0,8,[],1.2.1,0
15,navergame-sdk-android,1,0,17,[],1.2.1,3
16,splade,2,0,45,"['nlp', 'information-retrieval', 'sparse', 'bert', 'passage-retrieval', 'splade']",Release v0.1.1,127
17,arcus-memcached,20,5,"1,876","['memcached', 'arcus', 'memory-cache-store', 'arcus-memcached', 'arcus-server']",Arcus Server 1.13.3,63
