,ProjectName,BranchNum,PullRequestNum,CommitNum,Topics,ReleaseInfo,star
0,tizen-docs,35,9,"3,852",[],v4.0: Merge pull request #447 from sgchoi5/updateapplink,122
1,Universum,14,6,618,"['devops', 'continuous-integration', 'ci', 'version-control', 'build-automation', 'ci-framework']",,15
2,ONE,18,74,"6,925","['neural-network', 'compiler', 'runtime', 'optimization', 'on-device-ai']",ONE Release 1.20.0,255
3,TizenRT,3,48,"10,351",[],3.0_GBM,450
4,TizenFX,12,19,"7,404","['c-sharp', 'dotnet', 'tizen', 'device-apis', 'tizenfx']",,147
5,CredSweeper,3,6,700,[],v1.4.1,46
6,ONE-vscode,3,28,812,['vscode-extension'],Release 0.3.0,27
7,Chromium,1,0,"12,106",[],,47
8,LPVS,1,2,20,"['hooks', 'scanner', 'compliance', 'license', 'lpvs']",LPVS release v1.0.0,8
9,islet,3,0,66,[],,8
10,islet-linux,2,0,8,[],,3
11,UTopia,1,1,12,"['fuzzing', 'code-generation']",0.1.0,18
12,Tizen-CSharp-Samples,5,10,"1,357",[],,207
13,thorvg,4,12,"1,610","['svg', 'image', 'png', 'shapes', 'animation', 'jpeg', 'graphics', 'canvas2d', 'rendering-2d-graphics', 'drawing-library', 'tvg', 'path-drawing', 'paints', 'vector-graphics-engine']",ThorVG v0.8.2,193
14,escargot,9,10,"1,700",['javascript-engine'],Escargot 3.0.0,105
15,rlottie,4,10,868,[],V0.2,724
16,CAS,1,0,71,[],,12
17,CredData,1,0,19,[],,17
18,islet-asset,2,0,13,[],,4
19,mixed-reality-extension-godot,5,3,247,[],godot-3.4.4-stable,10
20,Tizen.NET,22,0,221,[],Tizen Workload 7.0.304,125
21,kflat,1,0,2,[],,3
22,Tizen.UIExtensions,5,0,172,[],0.9.0,3
23,iac,1,0,8,[],,4
24,js_vendor_tc,1,0,73,[],,3
25,vs-tools-cps,1,1,18,[],,9
26,appium-tizen-driver,10,7,61,[],,17
27,lwnode,1,1,824,[],,3
28,TAU,14,5,"1,061",[],TAU release 1.2.4,43
29,gcutil,5,0,"3,372","['garbage-collector', 'gc']",,8
30,tizen-tv-webapis,37,33,44,[],,20
31,TAU-Design-Editor,25,21,292,[],Release 0.8.0,22
32,qaboard,27,24,916,"['performance-engineering', 'algorithms', 'visualizations', 'mlops', 'continuous-quality']",v1.0.0,49
33,vscode-extension-tizentv,9,0,116,[],v1.2.4,14
34,Wits,28,0,477,[],WITs (v2.5.0),86
35,webIDE-common-tizentv,5,0,56,[],1.0.10,8
36,tedeu5,0,0,0,[],,2
37,Castanets,12,11,177,[],,42
38,ChromiumGStreamerBackend,4,3,207,[],,131
39,islet-build,1,0,2,[],,2
40,escargot-vscode-extension,5,6,28,[],1.0,3
41,netcoredbg,2,1,915,[],2.0.0-915,441
42,Tizen.Appium,6,3,286,[],,11
43,Tizen.CircularUI,10,4,359,[],1.5.4,81
44,build-task-tizen,5,5,5,[],,6
45,Tizen.TV.UIControls,12,0,255,"['xamarin-forms', 'net-maui']",1.0.0,39
46,auto_off_target,1,0,4,[],,6
47,thorvg.viewer,2,0,91,"['svg', 'svg-viewer', 'thorvg', 'thorvg-viewer']",,10
48,rome,0,0,0,[],,2
49,LexSubGen,3,1,72,[],,36
50,TizenTVApps,2,1,90,[],,193
51,mTower,3,1,97,"['iot', 'microcontroller', 'smarthome', 'makefile', 'gcc', 'secure', 'freertos', 'bootloader', 'trustzone', 'nuvoton', 'trusted-execution-environment', 'cortex-m23', 'numaker-pfm-m2351', 'm2351']",v0.3.0,33
52,jalangi2,9,8,319,[],,365
53,node-jerryscript,3,1,"21,081",[],,25
54,samsung-wallet-js,1,0,1,[],,2
55,ENNDelegate,0,0,0,[],,5
56,flare_llvm,0,0,0,[],,1
57,flare,0,0,0,[],,1
58,flare_wasi_sdk,0,0,0,[],,1
59,flare_wasi_libc,0,0,0,[],,2
60,flare_V8_build,0,0,0,[],,1
61,cotopaxi,1,1,85,[],v.1.7.0,310
62,tools,5,0,24,[],1.0.2,4
63,icu,2,0,4,[],,4
64,SamsungAutomationStudio,5,0,96,[],modify SmartThings MyDevice API call,36
65,SES,1,0,3,[],,1
