,Topic,Description,Organization,License Type,Software Type
0,Andes MCUlib,, Andes,, C Compilers and Libraries 
1,Bronzebeard,, Andrew DaileyAndrew Dailey,, C Compilers and Libraries 
2,BSC RISC-V Vector Toolchain (BRVT),, Barcelona Supercomputing Center,, C Compilers and Libraries 
3,Clang/LLVM,, Alex Bradbury (lowRISC),, C Compilers and Libraries 
4,CompCert,, Xavier Leroy,, C Compilers and Libraries 
5,GCC,," Andrew Waterman (SiFive), Palmer Dabbelt (Google), Jim Wilson (SiFive), Kito Cheng (SiFive)",, C Compilers and Libraries 
6,Glibc,," Palmer Dabbelt (Google), Andrew Waterman (SiFive), DJ Delorie (Red Hat), Darius Rad(Bluespec)",, C Compilers and Libraries 
7,GNU MCU Eclipse RISC-V Embedded GCC (riscv-non-embed-gcc),, Liviu lonescu,, C Compilers and Libraries 
8,Green Hills Optimizing C/C++ Compilers,, Green Hills,, C Compilers and Libraries 
9,IAR Systems Optimizing C/C++ Compilers,, IAR SystemsIAR Systems,, C Compilers and Libraries 
10,Musl,,,, C Compilers and Libraries 
11,Newlib,, Kito Cheng (SiFive),, C Compilers and Libraries 
12,OpenArkCompiler (MAPLE),, Futurewei,, C Compilers and Libraries 
13,SEGGER Floating Point Library,, SEGGER,, C Compilers and Libraries 
14,SEGGER Runtime Library,, SEGGER,, C Compilers and Libraries 
