,Topic,Description,Organization,License Type,Software Type
0,Ashling RiscFree Debugger,, Ashling,, Debugging 
1,GDB,," Andrew Burgess (Embecosm), Palmer Dabbelt (Google)",, Debugging 
2,GNU MCU Eclipse OpenOCD,, Liviu Ionescu,, Debugging 
3,Green Hills Probe,, Green Hills,, Debugging 
4,GRMON,, Cobham Gaisler,, Debugging 
5,IAR Systems I-jet Probe,, IAR Systems,, Debugging 
6,IAR Systems I-jet Trace Probe,, IAR Systems,, Debugging 
7,Imperas Multi Processor Debugger,, Imperas,, Debugging 
8,OpenOCD,," Tim Newsome (SiFive), Megan Wachs (SiFive), Palmer Dabbelt (Google)",, Debugging 
9,Ozone â€“ the J-Link Debugger,, SEGGER,, Debugging 
10,PlatformIO Unified Debugger,, PlatformIO,, Debugging 
11,TCF Debugger,, Sanimir Agovic,, Debugging 
12,TRACE32 JTAG Debugger,, Lauterbach,, Debugging 
