,Topic,Description,Organization,License Type,Software Type
0,DBT-RISE-RISCV,, MINRES Technologies,, Simulators 
1,FireSim,," Sagar Karandikar, Howard Mao, Donggyu Kim, David Biancolin, Alon Amid, Berkeley Architecture Research",, Simulators 
2,gem5,, Alec Roelke (University of Virginia),, Simulators 
3,jor1k,, Sebastian Macke,, Simulators 
4,Jupiter,, AndrÃ©s Castellanos,, Simulators 
5,MARSS-RISCV,," Gaurav N Kothari, Parikshit P Sarnaik, Gokturk Yuksek (State University of New York at Binghamton)",, Simulators 
6,OVPsim,, Imperas,, Simulators 
7,PQSE,, PQShield,, Simulators 
8,QEMU,," Sagar Karandikar (University of California, Berkeley), Bastian Koppelmann (University of Paderborn), Alex Suykov, Stefan Oâ€™Rear and Michael Clark (SiFive)",, Simulators 
9,RARS,, Benjamin Landers,, Simulators 
10,Renode,, Antmicro,, Simulators 
11,Ripes,, Morten Borup Petersen,, Simulators 
12,RISC-V Virtual Prototype,," Vladimir Herdt (University of Bremen, AGRA)",, Simulators 
13,riscv-rust,, Takahiro Aoyagi,, Simulators 
14,riscv-vm,, Aidan Dodds,, Simulators 
15,riscvOVPsimPlus,, Imperas,, Simulators 
16,SIM-V,Ultra-Fast Functional RISC-V ISS, MachineWare GmbH, Proprietary , Simulators 
17,Spike,, Andrew Waterman & Yunsup Lee (SiFive),, Simulators 
18,Swerv-ISS,, Joseph Rahmeh (Western Digital),, Simulators 
19,terminus,, Yang Li,, Simulators 
20,TinyEMU,, Fabrice Bellard,, Simulators 
21,ViDBo,Virtual Development Board is a protocol for interacting with a simulated SoC through a web browser, The amazing Olof Kindgren's world encompassing empire, Permissive , Application InfrastructureSimulators 
22,VLAB,, ASTC,, Simulators 
23,Vulcan,, Victor Miguel de Morais Costa,, Simulators 
