,Topic,Description,Organization,License Type,Software Type
0,Ada (GNAT),, AdaCore,, 
1,BishengJDK/HotSpot (Java Virtual Machine),, Yadong Wang,, 
2,Eclipse OMR,, Eclipse OMR Project,, 
3,Free Pascal,, Jeppe Johansen and others,, 
4,Go,," Benjamin Barenblat (Google), Michael Pratt (Google), Stef Oâ€™Rear",, 
5,ibForth,, Lars Brinkhoff,, 
6,Jikes RVM (Java Virtual Machine),," Martin Maas (University of California, Berkeley)",, 
7,Maxine VM (Java Virtual Machine),, Maxine team,, 
8,Mecrisp-Quintis Forth kernel,, Matthias Koch,, 
9,Mono,, Alex RÃ¸nne Petersen,, 
10,muForth,, David Frech,, 
11,Nim,, Andreas Rumpf and others,, 
12,Node.js,," RIOS, Futurewei, PLCT Lab",, 
13,Ocaml,, NicolÃ¡s Ojeda BÃ¤r,, 
14,OpenJDK/HotSpot (Java Virtual Machine),," Alexey Baturo, Michael Knysnek, Martin Maas",, 
15,OpenJDK/OpenJ9 (Java Virtual Machine),, Cheng Jin,, 
16,Rust,, Rust Project,, 
17,V8 (JS),," RIOS, Futurewei, PLCT Lab",, 
18,Zen,, connectFree Corporation,, 
