,Topic,Description,Organization,License Type,Software Type
0,DBT-RISE-RISCV,, MINRES Technologies,, 
1,FireSim,," Sagar Karandikar, Howard Mao, Donggyu Kim, David Biancolin, Alon Amid, Berkeley Architecture Research",, 
2,gem5,, Alec Roelke (University of Virginia),, 
3,jor1k,, Sebastian Macke,, 
4,Jupiter,, AndrÃ©s Castellanos,, 
5,MARSS-RISCV,," Gaurav N Kothari, Parikshit P Sarnaik, Gokturk Yuksek (State University of New York at Binghamton)",, 
6,OVPsim,, Imperas,, 
7,PQSE,, PQShield,, 
8,QEMU,," Sagar Karandikar (University of California, Berkeley), Bastian Koppelmann (University of Paderborn), Alex Suykov, Stefan Oâ€™Rear and Michael Clark (SiFive)",, 
9,RARS,, Benjamin Landers,, 
10,Renode,, Antmicro,, 
11,Ripes,, Morten Borup Petersen,, 
12,RISC-V Virtual Prototype,," Vladimir Herdt (University of Bremen, AGRA)",, 
13,riscv-rust,, Takahiro Aoyagi,, 
14,riscv-vm,, Aidan Dodds,, 
15,riscvOVPsimPlus,, Imperas,, 
16,Spike,, Andrew Waterman & Yunsup Lee (SiFive),, 
17,Swerv-ISS,, Joseph Rahmeh (Western Digital),, 
18,terminus,, Yang Li,, 
19,TinyEMU,, Fabrice Bellard,, 
20,VLAB,, ASTC,, 
21,Vulcan,, Victor Miguel de Morais Costa,, 
