,title,descript,topic_keyword,star,fork
0,OpenBLAS,OpenBLAS is an optimized BLAS library based on GotoBLAS2 1.13 BSD version.,"['blas', 'lapack', 'lapacke']",4.7k,1.2k
1,libmoepgf,High-performance Finite Field Library for x86 and ARM,[],11,6
2,vidbo,Virtual Development Board,[],49,4
3,opensbi,RISC-V Open Source Supervisor Binary Interface,[],472,266
4,riscv-pk,RISC-V Proxy Kernel,[],378,265
5,rustsbi,RISC-V Supervisor Binary Interface (RISC-V SBI) implementation in Rust; runs on M-mode; good support for embedded Rust ecosystem,[],9,47
6,riscv-uefi-edk2-docs,Documentation and status of UEFI on RISC-V,[],30,5
7,freebsd-src,FreeBSD src tree (read-only mirror),[],6.5k,2.4k
8,bronzebeard,Minimal assembler and ecosystem for bare-metal RISC-V development,"['python', 'assembler', 'bare-metal', 'risc-v', 'longan-nano', 'wio-lite']",26,7
9,llvm-project,The LLVM Project is a collection of modular and reusable compiler and toolchain technologies. Note: the repository does not accept github pull requests at this moment. Please submit your patches at http://reviews.llvm.org.,[],15.3k,5.8k
10,CompCert,The CompCert formally-verified C compiler,"['c', 'compiler', 'coq', 'compcert']",1.4k,180
11,riscv-gcc,[BLANK],[],287,253
12,riscv-glibc,RISC-V port of GNU's libc,[],70,86
13,riscv-musl,musl libc for RISC-V,[],67,14
14,riscv-newlib,RISC-V port of newlib,[],75,114
15,openocd,The GNU MCU Eclipse OpenOCD,"['debugger', 'openocd', 'jtag']",229,63
16,riscv-openocd,Fork of OpenOCD that has RISC-V support,[],276,240
17,bao-hypervisor,"Bao, a Lightweight Static Partitioning Hypervisor","['security', 'embedded', 'virtualization', 'hypervisor', 'static', 'safety', 'partitioning', 'armv8', 'risc-v', 'mixed-critcality']",132,46
18,linux,Linux KVM RISC-V repo,[],29,8
19,RVirt,RISC-V hypervisor written in Rust,[],251,25
20,xvisor,Xvisor: eXtensible Versatile hypervISOR,[],386,190
21,riscv-gnu-toolchain,"GNU toolchain for RISC-V, including GCC",[],1.8k,727
22,riscv-linux,RISC-V Linux Port,[],599,204
23,meta-riscv,OpenEmbedded/Yocto layer for RISC-V Architecture,"['riscv', 'yocto-layer', 'yocto', 'openembedded', 'risc-v', 'yocto-meta', 'openembedded-layer']",200,87
24,ncnn,ncnn is a high-performance neural network inference framework optimized for the mobile platform,"['android', 'ios', 'caffe', 'deep-learning', 'neural-network', 'mxnet', 'tensorflow', 'vulkan', 'keras', 'inference', 'pytorch', 'artificial-intelligence', 'simd', 'riscv', 'darknet', 'arm-neon', 'high-preformance', 'ncnn', 'onnx', 'mlir']",15.1k,3.6k
25,omr,"Eclipse OMR™ Cross platform components for building reliable, high performance language runtimes",['hacktoberfest'],871,363
26,riscv-go,[BLANK],[],147,27
27,lbForth,"Self-hosting metacompiled Forth, bootstrapping from a few lines of C; targets Linux, Windows, ARM, RISC-V, 68000, PDP-11, asm.js.","['linux', 'programming-language', 'avr', 'arm', 'interpreter', 'cortex-m', 'compiler', 'self-hosted', 'riscv', 'forth', 'x86', 'msp430', 'pdp11', 'metacompiler', 'm68k', 'asmjs', '6502', 'risc-v', '8051']",360,89
28,JikesRVM,Jikes RVM (Research Virtual Machine),"['java', 'research', 'jvm', 'virtual-machine', 'metacircular-vm']",342,76
