,ProjectName,descript,Topics,fork,star
0,brevitas,Brevitas: quantization-aware training in PyTorch,"['text-to-speech', 'fpga', 'speech-recognition', 'neural-networks', 'image-classification', 'xilinx', 'quantization']",135,714
1,finn,Dataflow compiler for QNN inference on FPGAs,"['fpga', 'neural-network', 'compiler', 'dataflow', 'quantization']",168,433
2,XRT,Xilinx Run Time for FPGA,"['fpga', 'linux-kernel', 'xrt', 'vitis']",381,390
3,mlir-aie,An MLIR-based toolchain for Xilinx Versal AIEngine-based devices.,"['mlir', 'llvm']",29,93
4,RapidWright,Build Customized FPGA Implementations for Vivado,"['fpga', 'xilinx', 'vivado', 'rapidwright']",87,206
5,PYNQ,Python Productivity for ZYNQ,['pynq'],731,1537
6,Vitis-Tutorials,Vitis In-Depth Tutorials,"['embedded-systems', 'alveo', 'zcu102', 'xrt', 'vitis', 'alveo-u200', 'aiengine']",417,665
7,qemu,Xilinx's fork of Quick EMUlator (QEMU) with improved support and modelling for the Xilinx platforms.,"['c', 'tcg', 'qemu']",117,178
8,ZCU111-PYNQ,Board files to build the ZCU111 PYNQ image,['pynq'],17,15
9,ACCL,Alveo Collective Communication Library: MPI-like communication operations for Xilinx Alveo accelerators,"['hpc', 'mpi', 'fpga']",15,30
10,PYNQ-ZU,"PYNQ-ZU, XUP UltraScale+ MPSoC academic board","['pynq', 'xup', 'pynq-zu', 'fpga']",10,10
11,PYNQ_Composable_Pipeline,PYNQ Composabe Overlays,"['xilinx', 'pynq', 'composable', 'fpga']",13,43
12,open-amp,[BLANK],['openamp'],212,17
13,libmetal,"an abstraction layer across user-space Linux, baremetal, and RTOS environments",['openamp'],122,21
14,open-nic,AMD OpenNIC Project Overview,"['networking', 'datacenter', 'smartnic', 'network-acceleration', 'fpga']",17,82
15,finn-examples,Dataflow QNN inference accelerator examples on FPGAs,"['fpga', 'finn', 'pynq', 'alveo', 'neural-network-accelerators']",33,75
16,xup_vitis_network_example,VNx: Vitis Network Examples,"['networking', 'xilinx', 'alveo', 'vnx', 'vitis', 'vitis-network', 'alveo-card']",31,74
17,open-nic-shell,AMD OpenNIC Shell includes the HDL source files,"['datacenter', 'smartnic', 'network-acceleration', 'fpga', 'verilog']",31,47
18,Xilinx_Container_Runtime,Container Runtime Leveraging Xilinx FPGA Devices,"['fpga', 'container']",0,2
