,title,descript,topic_keyword,fork,star
0,brevitas,Brevitas: quantization-aware training in PyTorch,"['text-to-speech', 'fpga', 'speech-recognition', 'neural-networks', 'image-classification', 'xilinx', 'quantization']",135,714
1,xbtest,[BLANK],[],0,0
2,finn,Dataflow compiler for QNN inference on FPGAs,"['fpga', 'neural-network', 'compiler', 'dataflow', 'quantization']",168,433
3,Vitis-AI,"Vitis AI is Xilinx’s development stack for AI inference on Xilinx hardware platforms, including both edge devices and Alveo cards.",[],522,956
4,XRT,Xilinx Run Time for FPGA,"['fpga', 'linux-kernel', 'xrt', 'vitis']",381,390
5,mlir-aie,An MLIR-based toolchain for Xilinx Versal AIEngine-based devices.,"['mlir', 'llvm']",29,93
6,inference-server,[BLANK],[],5,11
7,PYNQ-Metadata,[BLANK],[],1,1
8,RapidWright,Build Customized FPGA Implementations for Vivado,"['fpga', 'xilinx', 'vivado', 'rapidwright']",87,206
9,kria-apps-docs,[BLANK],[],3,0
10,PYNQ,Python Productivity for ZYNQ,['pynq'],731,1537
11,XilinxBoardStore,[BLANK],[],222,159
12,llvm-project,The LLVM Project is a collection of modular and reusable compiler and toolchain technologies. Note: the repository does not accept github pull requests at this moment. Please submit your patches at http://reviews.llvm.org.,[],6182,0
13,Vitis-Tutorials,Vitis In-Depth Tutorials,"['embedded-systems', 'alveo', 'zcu102', 'xrt', 'vitis', 'alveo-u200', 'aiengine']",417,665
14,XilinxCEDStore,This store contains Configurable Example Designs.,[],34,27
15,qemu,Xilinx's fork of Quick EMUlator (QEMU) with improved support and modelling for the Xilinx platforms.,"['c', 'tcg', 'qemu']",117,178
16,vck190-base-trd,[BLANK],[],4,9
17,PYNQ-Utils,[BLANK],[],0,0
18,Xilinx_Base_Runtime,[BLANK],[],8,20
19,RFSoC2x2-PYNQ,RFSoC2x2 board repo for PYNQ,[],19,17
20,ZCU111-PYNQ,Board files to build the ZCU111 PYNQ image,['pynq'],17,15
21,RFSoC-PYNQ,Python productivity for RFSoC platforms,[],8,12
22,dma_ip_drivers,Xilinx QDMA IP Drivers,[],284,326
23,meta-xilinx,Xilinx device and board support for Yocto/OE-core.,[],116,105
24,meta-xilinx-tools,[BLANK],[],43,34
25,ACCL,Alveo Collective Communication Library: MPI-like communication operations for Xilinx Alveo accelerators,"['hpc', 'mpi', 'fpga']",15,30
26,linux-xlnx,The official Linux kernel from Xilinx,[],1414,1069
27,U25N-SmartNIC-Solution,[BLANK],[],3,3
28,rt-engine,Vitis-AI Runtime Engine for Cloud DPUs,[],1,4
29,PYNQ-ZU,"PYNQ-ZU, XUP UltraScale+ MPSoC academic board","['pynq', 'xup', 'pynq-zu', 'fpga']",10,10
30,embeddedsw,Xilinx Embedded Software (embeddedsw) Development,[],926,621
31,finn-hlslib,Vitis HLS library for FINN,[],51,117
32,kria-docker,[BLANK],[],0,1
33,system-controller-web,BEAM Tool scweb module to support package-feeds,[],0,1
34,u-boot-xlnx,The official Xilinx u-boot repository,[],733,481
35,yocto-manifests,[BLANK],[],25,18
36,yocto-scripts,[BLANK],[],3,4
37,meta-xilinx-tsn,[BLANK],[],0,0
38,meta-vitis,[BLANK],[],2,2
39,meta-virtualization,[BLANK],[],3,4
40,meta-som,[BLANK],[],1,0
41,meta-security,[BLANK],[],1,0
42,meta-ros,[BLANK],[],0,0
43,meta-qt5,[BLANK],[],2,2
44,meta-python2,[BLANK],[],0,0
45,meta-petalinux,meta-petalinux distro layer supporting Xilinx Tools,[],39,63
46,meta-openembedded,[BLANK],[],2,5
47,meta-openamp,[BLANK],[],20,14
48,meta-mingw,[BLANK],[],0,2
49,meta-jupyter,[BLANK],[],9,5
50,meta-clang,[BLANK],[],0,0
51,meta-browser,[BLANK],[],0,1
52,poky,[BLANK],[],9,6
53,vcu_gst_lib,[BLANK],[],0,0
54,vcu_video_lib,[BLANK],[],1,0
55,vcu_qt,[BLANK],[],0,1
56,vcu_gst_app,[BLANK],[],1,2
57,vcu_apm_lib,[BLANK],[],0,0
58,systemctlm-cosim-demo,[BLANK],[],32,58
